"","year","location","num_of_records","fetal_deathrate","fetaldeath_staterate","fetal_deaths","infant_deathrate","infantdeath_staterate","infant_deaths","live_births"
"351",1998,"Snohomish",1,5,5,42,5,5,46,8352
"352",1998,"Spokane",1,7,5,40,5,5,30,5496
"353",1998,"Stevens",1,0,5,0,NA,5,NA,412
"354",1998,"Thurston",1,NA,5,NA,NA,5,16,2511
"355",1998,"Wahkiakum",1,0,5,0,0,5,0,37
"356",1998,"Walla Walla",1,NA,5,NA,NA,5,NA,700
"357",1998,"Whatcom",1,NA,5,12,NA,5,NA,2055
"358",1998,"Whitman",1,NA,5,NA,NA,5,NA,398
"359",1998,"Yakima",1,4,5,21,6,5,27,4295
"360",1999,"State Total",1,5,5,469,5,5,401,79577
"361",1999,"Adams",1,NA,5,NA,NA,5,NA,319
"362",1999,"Asotin",1,NA,5,NA,NA,5,NA,263
"363",1999,"Benton",1,NA,5,NA,NA,5,10,2119
"364",1999,"Chelan",1,NA,5,NA,NA,5,NA,964
"365",1999,"Clallam",1,NA,5,NA,NA,5,NA,617
"366",1999,"Clark",1,4,5,21,4,5,21,5185
"367",1999,"Columbia",1,0,5,0,0,5,0,27
"368",1999,"Cowlitz",1,NA,5,15,NA,5,NA,1286
"369",1999,"Douglas",1,NA,5,NA,NA,5,NA,454
"370",1999,"Ferry",1,NA,5,NA,NA,5,NA,77
"371",1999,"Franklin",1,NA,5,NA,NA,5,NA,1104
"372",1999,"Garfield",1,0,5,0,0,5,0,27
"373",1999,"Grant",1,NA,5,NA,NA,5,NA,1390
"374",1999,"Grays Harbor",1,NA,5,NA,NA,5,NA,823
"375",1999,"Island",1,NA,5,10,NA,5,NA,912
"376",1999,"Jefferson",1,NA,5,NA,0,5,0,220
"377",1999,"King",1,5,5,121,5,5,112,22007
"378",1999,"Kitsap",1,NA,5,16,NA,5,15,2893
"379",1999,"Kittitas",1,NA,5,NA,NA,5,NA,364
"380",1999,"Klickitat",1,0,5,0,0,5,0,229
"381",1999,"Lewis",1,NA,5,NA,NA,5,NA,944
"382",1999,"Lincoln",1,NA,5,NA,0,5,0,113
"383",1999,"Mason",1,NA,5,NA,NA,5,NA,523
"384",1999,"Okanogan",1,NA,5,NA,NA,5,NA,552
"385",1999,"Pacific",1,NA,5,NA,NA,5,NA,163
