StatOverview_Full_Data_data,,,,,,,,,,,,,,,
Year,FDAnnotate,FDSuppress,Geography,ID Annotate,ID Rate Lower CI,ID Rate Upper CI,ID Suppress,Number of Records,Fetal Death Rate,Fetal Death State Rate,Fetal Deaths,Infant Death Rate,Infant Death State Rate,Infant Deaths,Live Births
1996,NR,**,Grant,NR,,,,1,,5.9,,,5.5,10,1292
1996,NR,**,Grays Harbor,NR,,,**,1,,5.9,,,5.5,,891
1996,NR,**,Island,NR,,,**,1,,5.9,,,5.5,,983
1996,,,Jefferson,NR,,,**,1,0,5.9,0,,5.5,,199
1996,,,King,,4.5,6.6,,1,6.4,5.9,137,5.5,5.5,118,21573
1996,,,Kitsap,NR,,,,1,5.8,5.9,19,,5.5,16,3269
1996,NR,**,Kittitas,NR,,,**,1,,5.9,,,5.5,,331
1996,NR,**,Klickitat,NR,,,**,1,,5.9,,,5.5,,241
1996,NR,**,Lewis,NR,,,**,1,,5.9,,,5.5,,881
1996,NR,**,Lincoln,NR,,,**,1,,5.9,,,5.5,,98
1996,NR,**,Mason,NR,,,**,1,,5.9,,,5.5,,536
1996,NR,**,Okanogan,NR,,,**,1,,5.9,,,5.5,,540
1996,,,Pacific,NR,,,**,1,0,5.9,0,,5.5,,212
1996,,,Pend Oreille,NR,,,**,1,0,5.9,0,,5.5,,128
1996,,,Pierce,,6.1,9.8,,1,4.1,5.9,39,7.8,5.5,75,9620
1996,NR,**,San Juan,,,,,1,,5.9,,0,5.5,0,101
1996,NR,,Skagit,NR,,,**,1,,5.9,16,,5.5,,1293
1996,,,Skamania,NR,,,**,1,0,5.9,0,,5.5,,83
1996,,,Snohomish,,4,7.5,,1,4.9,5.9,39,5.6,5.5,44,7921
1996,,,Spokane,,3.5,7.4,,1,5.2,5.9,29,5.2,5.5,29,5626
1996,NR,**,Stevens,NR,,,**,1,,5.9,,,5.5,,464
1996,,,Thurston,NR,,,**,1,7,5.9,17,,5.5,,2436
1996,,,Wahkiakum,,,,,1,0,5.9,0,0,5.5,0,39
1996,NR,**,Walla Walla,NR,,,,1,,5.9,,,5.5,10,781
1996,NR,**,Whatcom,NR,,,**,1,,5.9,,,5.5,,1910
1996,,,Whitman,NR,,,**,1,0,5.9,0,,5.5,,428
1996,,,Yakima,,3.9,8.8,,1,7.2,5.9,30,6,5.5,25,4190
1997,,,State Total,,5.1,6.2,,1,5.9,5.9,460,5.6,5.6,440,78141
1997,NR,**,Adams,NR,,,**,1,,5.9,,,5.6,,292
